Date,Open,High,Low,Close,Adj Close,Volume
2014-02-20,6.150000,6.350000,6.060000,6.290000,5.324173,6967231
2014-02-21,6.330000,6.340000,6.137000,6.175000,5.226833,5255907
2014-02-24,6.195000,6.375000,6.140000,6.308000,5.339411,4327617
2014-02-25,6.290000,6.380000,6.280000,6.378000,5.398661,3258519
2014-02-26,6.374000,6.389000,6.315000,6.334000,5.361418,2948619
2014-02-27,6.310000,6.330000,6.153000,6.189000,5.238683,3393752
2014-02-28,6.181000,6.233000,6.120000,6.220000,5.264922,4594743
2014-03-03,6.120000,6.128000,6.019000,6.030000,5.104098,14214219
2014-03-04,6.072000,6.107000,6.030000,6.103000,5.165889,3774424
2014-03-05,6.106000,6.207000,6.091000,6.169000,5.221754,4928215
2014-03-06,6.200000,6.290000,6.181000,6.266000,5.303859,2718952
2014-03-07,6.252000,6.336000,6.236000,6.268000,5.305552,2290202
2014-03-10,6.268000,6.325000,6.235000,6.277000,5.313170,2083216
2014-03-11,6.285000,6.285000,6.200000,6.236000,5.278466,2575794
2014-03-12,6.210000,6.231000,6.093000,6.104000,5.166734,2722526
2014-03-13,6.129000,6.130000,5.956000,5.974000,5.056695,4131154
2014-03-14,5.950000,5.956000,5.710000,5.900000,4.994059,5893789
2014-03-17,5.900000,5.990000,5.885000,5.985000,5.066007,3292919
2014-03-18,5.988000,6.079000,5.957000,6.071000,5.138802,2658092
2014-03-19,6.085000,6.187000,6.013000,6.162000,5.215829,3806872
2014-03-20,6.105000,6.189000,6.075000,6.099000,5.162502,2647121
2014-03-21,6.100000,6.150000,6.083000,6.124000,5.183663,2722684
2014-03-24,6.140000,6.152000,6.065000,6.103000,5.165889,4074760
2014-03-25,6.112000,6.224000,6.043000,6.224000,5.268309,2508336
2014-03-26,6.260000,6.400000,6.237000,6.344000,5.369883,3224110
2014-03-27,6.318000,6.590000,6.278000,6.565000,5.556949,5278499
2014-03-28,6.577000,6.648000,6.510000,6.570000,5.561181,3641895
2014-03-31,6.619000,6.690000,6.561000,6.632000,5.613660,4085734
2014-04-01,6.650000,6.650000,6.521000,6.583000,5.572185,5215557
2014-04-02,6.571000,6.572000,6.471000,6.531000,5.528169,2975856
2014-04-03,6.545000,6.709000,6.513000,6.641000,5.621278,4180112
2014-04-04,6.534000,6.613000,6.491000,6.576000,5.566259,5780821
2014-04-07,6.541000,6.595000,6.519000,6.548000,5.542558,2308806
2014-04-08,6.519000,6.520000,6.273000,6.417000,5.431673,3616915
2014-04-09,6.414000,6.470000,6.272000,6.279000,5.314863,4220117
2014-04-10,6.296000,6.364000,6.185000,6.278000,5.314017,3214820
2014-04-11,6.212000,6.286000,6.130000,6.153000,5.208210,3507980
2014-04-14,6.135000,6.155000,6.010000,6.107000,5.169274,2506435
2014-04-15,6.119000,6.208000,6.071000,6.132000,5.190434,3050892
2014-04-16,6.177000,6.220000,6.136000,6.200000,5.247993,2021035
2014-04-17,6.219000,6.219000,6.130000,6.184000,5.234450,2342992
2014-04-22,6.225000,6.409000,6.200000,6.409000,5.424902,4260281
2014-04-23,6.429000,6.517000,6.420000,6.515000,5.514626,4232616
2014-04-24,6.517000,6.530000,6.304000,6.404000,5.420669,6575727
2014-04-25,6.382000,6.416000,6.268000,6.284000,5.319096,2454002
2014-04-28,6.317000,6.343000,6.215000,6.295000,5.328407,2105732
2014-04-29,6.317000,6.399000,6.282000,6.396000,5.413898,2612251
2014-04-30,6.378000,6.445000,6.342000,6.438000,5.449450,2139256
2014-05-02,6.398000,6.418000,6.297000,6.310000,5.341103,3465267
2014-05-05,6.290000,6.293000,6.183000,6.248000,5.288624,1983983
2014-05-06,6.236000,6.297000,6.152000,6.226000,5.270001,8122443
2014-05-07,6.210000,6.449000,6.178000,6.437000,5.448602,4778843
2014-05-08,6.442000,6.610000,6.442000,6.564000,5.556101,5132013
2014-05-09,6.410000,6.490000,6.353000,6.381000,5.401202,4899978
2014-05-12,6.483000,6.548000,6.416000,6.540000,5.535787,4780416
2014-05-13,6.548000,6.589000,6.505000,6.529000,5.526475,3158905
2014-05-14,6.548000,6.570000,6.488000,6.501000,5.502775,2506046
2014-05-15,6.517000,6.569000,6.428000,6.459000,5.467224,2967274
2014-05-16,6.481000,6.602000,6.456000,6.592000,5.579803,2882948
2014-05-19,6.600000,6.696000,6.515000,6.676000,5.650904,4165066
2014-05-20,6.687000,6.745000,6.541000,6.596000,5.583188,4952465
2014-05-21,6.577000,6.659000,6.539000,6.648000,5.627203,2073791
2014-05-22,6.670000,6.726000,6.625000,6.707000,5.677144,2813483
2014-05-23,6.719000,6.784000,6.650000,6.732000,5.698305,2824736
2014-05-26,6.784000,6.808000,6.720000,6.785000,5.743167,1826516
2014-05-27,6.789000,6.820000,6.680000,6.758000,5.720313,4423585
2014-05-28,6.770000,6.776000,6.680000,6.705000,5.675451,3361371
2014-05-29,6.717000,6.757000,6.672000,6.740000,5.705077,1548075
2014-05-30,6.740000,6.785000,6.720000,6.777000,5.736395,4520241
2014-06-02,6.800000,6.900000,6.782000,6.789000,5.746553,2897707
2014-06-03,6.840000,6.930000,6.634000,6.663000,5.639900,4958958
2014-06-04,6.662000,6.678000,6.581000,6.635000,5.616200,3261665
2014-06-05,6.632000,6.762000,6.630000,6.711000,5.680530,2451346
2014-06-06,6.709000,6.745000,6.626000,6.710000,5.679684,2941375
2014-06-09,6.698000,6.797000,6.685000,6.797000,5.753324,2295365
2014-06-10,6.700000,6.730000,6.611000,6.673000,5.648365,6322732
2014-06-11,6.669000,6.700000,6.564000,6.609000,5.594192,3373222
2014-06-12,6.597000,6.640000,6.481000,6.527000,5.524783,4028024
2014-06-13,6.533000,6.551000,6.451000,6.533000,5.529862,5421320
2014-06-16,6.510000,6.610000,6.439000,6.446000,5.456221,4135795
2014-06-17,6.430000,6.568000,6.429000,6.561000,5.553562,3533962
2014-06-18,6.561000,6.590000,6.530000,6.535000,5.531555,2210054
2014-06-19,6.583000,6.600000,6.560000,6.560000,5.552715,2107658
2014-06-20,6.584000,6.607000,6.538000,6.563000,5.555255,2088892
2014-06-23,6.783000,6.870000,6.691000,6.750000,5.713542,8358800
2014-06-24,6.744000,6.889000,6.729000,6.828000,5.779564,3835228
2014-06-25,6.811000,6.817000,6.693000,6.750000,5.713542,3873008
2014-06-26,6.767000,6.779000,6.701000,6.760000,5.722007,2273403
2014-06-27,6.765000,6.832000,6.692000,6.739000,5.704230,1828430
2014-06-30,6.750000,6.778000,6.640000,6.724000,5.691534,2772223
2014-07-01,6.756000,6.775000,6.610000,6.698000,5.669526,4283914
2014-07-02,6.907000,7.110000,6.860000,7.088000,5.999642,9602689
2014-07-03,7.095000,7.100000,7.020000,7.044000,5.962398,8879939
2014-07-04,7.023000,7.092000,7.018000,7.050000,5.967477,3814479
2014-07-07,7.049000,7.080000,6.960000,6.960000,5.891296,2778543
2014-07-08,6.956000,6.991000,6.763000,6.779000,5.738088,8526141
2014-07-09,6.829000,6.870000,6.721000,6.800000,5.755864,68793955
2014-07-10,6.813000,6.816000,6.530000,6.590000,5.578110,31019294
2014-07-11,6.615000,6.681000,6.526000,6.575000,5.565413,3265838
2014-07-14,6.607000,6.719000,6.604000,6.653000,5.631435,6156892
2014-07-15,6.659000,6.700000,6.554000,6.584000,5.573030,3416790
2014-07-16,6.442000,6.502000,6.420000,6.470000,5.612937,68847457
2014-07-17,6.466000,6.525000,6.427000,6.450000,5.595587,23195569
2014-07-18,6.427000,6.427000,6.317000,6.393000,5.546137,9931859
2014-07-21,6.400000,6.400000,6.287000,6.305000,5.469794,11736724
2014-07-22,6.338000,6.477000,6.303000,6.470000,5.612937,7768467
2014-07-23,6.464000,6.587000,6.445000,6.494000,5.633758,10188347
2014-07-24,6.475000,6.620000,6.445000,6.549000,5.681472,2755473
2014-07-25,6.516000,6.600000,6.449000,6.470000,5.612937,3114547
2014-07-28,6.610000,6.660000,6.310000,6.397000,5.549608,9599967
2014-07-29,6.390000,6.390000,6.302000,6.369000,5.525316,4100376
2014-07-30,6.438000,6.449000,6.350000,6.373000,5.528787,3824400
2014-07-31,6.378000,6.404000,6.191000,6.208000,5.385644,7240789
2014-08-01,6.190000,6.205000,6.059000,6.136000,5.323181,8114794
2014-08-04,6.173000,6.179000,6.107000,6.150000,5.335327,2670655
2014-08-05,6.192000,6.200000,6.066000,6.114000,5.304095,3410910
2014-08-06,6.075000,6.198000,5.950000,6.193000,5.372630,7074516
2014-08-07,6.188000,6.188000,6.021000,6.053000,5.251176,7641932
2014-08-08,5.994000,6.133000,5.932000,6.053000,5.251176,4126243
2014-08-11,6.111000,6.164000,6.087000,6.140000,5.326652,5229601
2014-08-12,6.144000,6.170000,6.073000,6.120000,5.309300,2819610
